Area,T Sub,D Sub,ID,Longitude,Latitude,Substation Number,Substation Name
p113u,p113uhs7_1247_69,p113uhs7_1247,p113ulv378,-96.67078129,33.17555146,2544,MCKINNEY 8
p113u,p113uhs9_1247_69,p113uhs9_1247,p113ulv147,-96.74778906,33.17577066,2538,PROSPER 2
p114u,p114uhs0_1247_69,p114uhs0_1247,p114ulv49,-97.44712776,32.92232066,1968,NEWARK 2
p114u,p114uhs1_1247_69,p114uhs1_1247,p114ulv12,-97.54436567,32.95117129,1970,AZLE 2
p114u,p114uhs2_1247_69,p114uhs2_1247,p114ulv33,-97.47096339,32.94226731,1971,NEWARK 3
p114u,p114uhs3_1247_69,p114uhs3_1247,p114ulv3,-97.41964904,32.99178079,2178,HASLET 3
p114u,p114uhs4_1247_69,p114uhs4_1247,p114ulv96,-97.54037994,32.84552757,1969,AZLE 1
p115u,p115uhs0_1247_69,p115uhs0_1247,p115ulv75,-96.60743658,32.7782595,1345,MESQUITE 2
p115u,p115uhs1_1247_69,p115uhs1_1247,p115ulv60,-96.61100897,32.78807397,1432,MESQUITE 33
p115u,p115uhs2_1247_69,p115uhs2_1247,p115ulv144,-96.64657079,32.75061628,1358,MESQUITE 8
p115u,p115uhs3_1247_69,p115uhs3_1247,p115ulv308,-96.55252821,32.73420601,1342,SUNNYVALE 1
p115u,p115uhs4_1247_69,p115uhs4_1247,p115ulv107,-96.55340146,32.79159106,1343,SUNNYVALE 2
p115u,p115uhs5_1247_69,p115uhs5_1247,p115ulv34,-96.64816885,32.7688495,1346,MESQUITE 3
p115u,p115uhs6_1247_69,p115uhs6_1247,p115ulv207,-96.59329599,32.73294881,1344,BALCH SPRINGS 5
p116u,p116uhs0_1247_69,p116uhs0_1247,p116ulv194,-96.68230362,32.76233817,1347,MESQUITE 4
p116u,p116uhs10_1247_69,p116uhs10_1247,p116ulv375,-96.65838337,32.72767049,1354,BALCH SPRINGS 7
p116u,p116uhs11_1247_69,p116uhs11_1247,p116ulv140,-96.77420085,32.75744009,1350,DALLAS 15
p116u,p116uhs12_1247_69,p116uhs12_1247,p116ulv260,-96.68740403,32.71435825,1355,BALCH SPRINGS 8
p116u,p116uhs13_1247_69,p116uhs13_1247,p116ulv79,-96.68972805,32.79674912,1362,MESQUITE 10
p116u,p116uhs14_1247_69,p116uhs14_1247,p116ulv66,-96.71051667,32.78784193,1356,DALLAS 16
p116u,p116uhs15_1247_69,p116uhs15_1247,p116ulv197,-96.69553692,32.7531309,1357,BALCH SPRINGS 9
p116u,p116uhs1_1247_69,p116uhs1_1247,p116ulv259,-96.69086784,32.72039278,1353,BALCH SPRINGS 6
p116u,p116uhs2_1247_69,p116uhs2_1247,p116ulv304,-96.66165766,32.76049354,1358,MESQUITE 8
p116u,p116uhs3_1247_69,p116uhs3_1247,p116ulv36,-96.74636972,32.77894358,1359,DALLAS 17
p116u,p116uhs4_1247_69,p116uhs4_1247,p116ulv93,-96.70321608,32.78071951,1349,MESQUITE 5
p116u,p116uhs5_1247_69,p116uhs5_1247,p116ulv128,-96.76850837,32.76102711,1350,DALLAS 15
p116u,p116uhs6_1247_69,p116uhs6_1247,p116ulv696,-96.67636677,32.79610731,1351,MESQUITE 6
p116u,p116uhs7_1247_69,p116uhs7_1247,p116ulv11,-96.71018906,32.8065756,1352,MESQUITE 7
p116u,p116uhs8_1247_69,p116uhs8_1247,p116ulv702,-96.6746645,32.77934713,1360,MESQUITE 9
p116u,p116uhs9_1247_69,p116uhs9_1247,p116ulv255,-96.68226305,32.73054115,1353,BALCH SPRINGS 6
p117u,p117uhs0_1247_69,p117uhs0_1247,p117ulv273,-97.05985815,32.73229384,1569,DUNCANVILLE 14
p117u,p117uhs10_1247_69,p117uhs10_1247,p117ulv669,-97.04518255,32.72124349,1569,DUNCANVILLE 14
p117u,p117uhs1_1247_69,p117uhs1_1247,p117ulv746,-97.03348087,32.6603653,1569,DUNCANVILLE 14
p117u,p117uhs2_1247_69,p117uhs2_1247,p117ulv23772,-97.06508026,32.70690229,1569,DUNCANVILLE 14
p117u,p117uhs3_1247_69,p117uhs3_1247,p117ulv108,-97.01604646,32.69569614,1569,DUNCANVILLE 14
p117u,p117uhs4_1247_69,p117uhs4_1247,p117ulv9,-97.02210738,32.7543523,1374,GRAND PRAIRIE 3
p117u,p117uhs5_1247_69,p117uhs5_1247,p117ulv311,-97.05403247,32.69495665,1569,DUNCANVILLE 14
p117u,p117uhs6_1247_69,p117uhs6_1247,p117ulv200,-97.01639474,32.66934038,1569,DUNCANVILLE 14
p117u,p117uhs7_1247_69,p117uhs7_1247,p117ulv137,-96.9899056,32.69552236,1569,DUNCANVILLE 14
p117u,p117uhs8_1247_69,p117uhs8_1247,p117ulv44,-96.99279244,32.74403365,1569,DUNCANVILLE 14
p117u,p117uhs9_1247_69,p117uhs9_1247,p117ulv24,-96.99000756,32.75054424,1569,DUNCANVILLE 14
p118u,p118uhs6_1247_69,p118uhs6_1247,p118ulv2336,-96.96096067,33.19582502,2560,LITTLE ELM 1
p119u,p119uhs0_1247_69,p119uhs0_1247,p119ulv146,-96.79461581,32.70452209,1369,DALLAS 21
p119u,p119uhs1_1247_69,p119uhs1_1247,p119ulv400,-96.77827198,32.6560143,1364,LANCASTER 1
p119u,p119uhs2_1247_69,p119uhs2_1247,p119ulv3,-96.79877909,32.74387268,1365,DALLAS 20
p119u,p119uhs3_1247_69,p119uhs3_1247,p119ulv228,-96.834017,32.68596441,1368,DUNCANVILLE 10
p119u,p119uhs4_1247_69,p119uhs4_1247,p119ulv211,-96.8595093,32.6791795,1367,DUNCANVILLE 9
p119u,p119uhs5_1247_69,p119uhs5_1247,p119ulv69,-96.83433339,32.69582439,1368,DUNCANVILLE 10
p119u,p119uhs6_1247_69,p119uhs6_1247,p119ulv140,-96.78434806,32.7152898,1369,DALLAS 21
p119u,p119uhs7_1247_69,p119uhs7_1247,p119ulv258,-96.82643028,32.67705043,1366,DESOTO 1
p120u,p120uhs0_1247_69,p120uhs0_1247,p120ulv61,-97.40770265,32.34897405,1986,CLEBURNE 5
p120u,p120uhs10_1247_69,p120uhs10_1247,p120ulv1624,-97.40997231,32.24503445,1982,RIO VISTA 3
p120u,p120uhs11_1247_69,p120uhs11_1247,p120ulv11,-97.56527388,32.28002898,1983,NEMO 2
p120u,p120uhs12_1247_69,p120uhs12_1247,p120ulv21,-97.421897,32.38453721,2190,JOSHUA 7
p120u,p120uhs13_1247_69,p120uhs13_1247,p120ulv4,-97.50462261,32.42521358,1998,JOSHUA 4
p120u,p120uhs1_1247_69,p120uhs1_1247,p120ulv212,-97.3502122,32.31397948,1973,CLEBURNE 1
p120u,p120uhs2_1247_69,p120uhs2_1247,p120ulv7,-97.40296674,32.41878301,1974,JOSHUA 1
p120u,p120uhs3_1247_69,p120uhs3_1247,p120ulv395,-97.36162829,32.37557158,1975,CLEBURNE 2
p120u,p120uhs4_1247_69,p120uhs4_1247,p120ulv165,-97.33640644,32.39394702,1976,KEENE 1
p120u,p120uhs5_1247_69,p120uhs5_1247,p120ulv97,-97.4173333,32.32659884,1977,CLEBURNE 3
p120u,p120uhs6_1247_69,p120uhs6_1247,p120ulv226,-97.30863388,32.2508232,1978,RIO VISTA 1
p120u,p120uhs7_1247_69,p120uhs7_1247,p120ulv256,-97.56870096,32.31147935,1983,NEMO 2
p120u,p120uhs8_1247_69,p120uhs8_1247,p120ulv353,-97.50341881,32.26441299,1980,RIO VISTA 2
p120u,p120uhs9_1247_69,p120uhs9_1247,p120ulv129,-97.52420762,32.25421136,1980,RIO VISTA 2
p121u,p121uhs0_1247_69,p121uhs0_1247,p121ulv92,-96.33358892,32.98222553,2562,ROYSE CITY 2
p121u,p121uhs10_1247_69,p121uhs10_1247,p121ulv90,-96.37510287,32.95791323,2571,FATE 2
p121u,p121uhs11_1247_69,p121uhs11_1247,p121ulv252,-96.37742611,32.87695944,2572,FATE 3
p121u,p121uhs12_1247_69,p121uhs12_1247,p121ulv164,-96.46359529,32.89079326,2576,ROCKWALL 4
p121u,p121uhs13_1247_69,p121uhs13_1247,p121ulv225,-96.49560414,32.84368475,2568,ROCKWALL 2
p121u,p121uhs14_1247_69,p121uhs14_1247,p121ulv254,-96.37172853,32.84336996,2573,ROYSE CITY 4
p121u,p121uhs15_1247_69,p121uhs15_1247,p121ulv286,-96.30856703,32.87059883,2573,ROYSE CITY 4
p121u,p121uhs1_1247_69,p121uhs1_1247,p121ulv191,-96.43332875,32.89809112,2563,ROCKWALL 1
p121u,p121uhs2_1247_69,p121uhs2_1247,p121ulv185,-96.44021561,32.89881943,2563,ROCKWALL 1
p121u,p121uhs3_1247_69,p121uhs3_1247,p121ulv273,-96.30289069,32.98337041,2564,ROYSE CITY 3
p121u,p121uhs4_1247_69,p121uhs4_1247,p121ulv32,-96.44385376,32.97471273,2565,FATE 1
p121u,p121uhs5_1247_69,p121uhs5_1247,p121ulv3,-96.43051722,33.0255156,2566,LAVON 1
p121u,p121uhs6_1247_69,p121uhs6_1247,p121ulv43,-96.4803009,32.93675445,2567,LAVON 2
p121u,p121uhs7_1247_69,p121uhs7_1247,p121ulv220,-96.47124084,32.8713535,2568,ROCKWALL 2
p121u,p121uhs8_1247_69,p121uhs8_1247,p121ulv6,-96.37884303,33.03448457,2569,NEVADA 1
p121u,p121uhs9_1247_69,p121uhs9_1247,p121ulv2,-96.45906638,33.01742709,2683,LAVON 4
p122u,p122uhs0_1247_69,p122uhs0_1247,p122ulv308,-96.60935299,32.92603751,2578,GARLAND 6
p122u,p122uhs10_1247_69,p122uhs10_1247,p122ulv173,-96.63712299,32.96745127,2580,SACHSE 1
p122u,p122uhs11_1247_69,p122uhs11_1247,p122ulv58,-96.50895361,33.03995866,2588,WYLIE 3
p122u,p122uhs12_1247_69,p122uhs12_1247,p122ulv3,-96.64845748,32.99049118,2590,SACHSE 5
p122u,p122uhs1_1247_69,p122uhs1_1247,p122ulv53,-96.55027006,33.02718962,2579,WYLIE 1
p122u,p122uhs2_1247_69,p122uhs2_1247,p122ulv174,-96.63305405,32.98110652,2580,SACHSE 1
p122u,p122uhs3_1247_69,p122uhs3_1247,p122ulv1165,-96.58373919,33.01327708,2581,SACHSE 2
p122u,p122uhs4_1247_69,p122uhs4_1247,p122ulv382,-96.53056908,32.95584801,2582,ROWLETT 1
p122u,p122uhs5_1247_69,p122uhs5_1247,p122ulv533,-96.52663091,32.88729569,2583,ROWLETT 2
p122u,p122uhs6_1247_69,p122uhs6_1247,p122ulv272,-96.59883575,32.94461055,2584,SACHSE 3
p122u,p122uhs7_1247_69,p122uhs7_1247,p122ulv480,-96.58269742,32.90010506,2744,ROWLETT 10
p122u,p122uhs8_1247_69,p122uhs8_1247,p122ulv141,-96.53928546,32.99299074,2586,WYLIE 2
p122u,p122uhs9_1247_69,p122uhs9_1247,p122ulv203,-96.5961151,32.97228509,2587,SACHSE 4
p123u,p123uhs0_1247_69,p123uhs0_1247,p123ulv52,-96.97894375,32.85827859,1376,IRVING 3
p123u,p123uhs10_1247_69,p123uhs10_1247,p123ulv65,-96.96614084,32.84339837,1372,IRVING 2
p123u,p123uhs11_1247_69,p123uhs11_1247,p123ulv356,-96.93023648,32.80618082,1373,GRAND PRAIRIE 2
p123u,p123uhs12_1247_69,p123uhs12_1247,p123ulv116,-97.01003102,32.82568297,1372,IRVING 2
p123u,p123uhs13_1247_69,p123uhs13_1247,p123ulv109,-96.93330064,32.84815702,1372,IRVING 2
p123u,p123uhs14_1247_69,p123uhs14_1247,p123ulv294,-96.95998898,32.79675817,1374,GRAND PRAIRIE 3
p123u,p123uhs15_1247_69,p123uhs15_1247,p123ulv6,-97.01533826,32.86398117,1376,IRVING 3
p123u,p123uhs16_1247_69,p123uhs16_1247,p123ulv5106,-97.04501282,32.81477367,1374,GRAND PRAIRIE 3
p123u,p123uhs17_1247_69,p123uhs17_1247,p123ulv750,-97.05703198,32.80084422,1374,GRAND PRAIRIE 3
p123u,p123uhs18_1247_69,p123uhs18_1247,p123ulv1421,-97.03072008,32.77471507,1374,GRAND PRAIRIE 3
p123u,p123uhs1_1247_69,p123uhs1_1247,p123ulv3903,-96.88712286,32.82259751,1375,DALLAS 22
p123u,p123uhs2_1247_69,p123uhs2_1247,p123ulv2,-96.97171238,32.87975751,1376,IRVING 3
p123u,p123uhs3_1247_69,p123uhs3_1247,p123ulv149,-96.99256411,32.80648466,1374,GRAND PRAIRIE 3
p123u,p123uhs4_1247_69,p123uhs4_1247,p123ulv173,-96.98471454,32.82515963,1372,IRVING 2
p123u,p123uhs5_1247_69,p123uhs5_1247,p123ulv341,-96.91176258,32.83309976,1371,IRVING 1
p123u,p123uhs6_1247_69,p123uhs6_1247,p123ulv1538,-97.04436633,32.83403599,1376,IRVING 3
p123u,p123uhs7_1247_69,p123uhs7_1247,p123ulv1161,-97.04126898,32.78598321,1374,GRAND PRAIRIE 3
p123u,p123uhs8_1247_69,p123uhs8_1247,p123ulv384,-96.97282322,32.75614868,1332,GRAND PRAIRIE 1
p123u,p123uhs9_1247_69,p123uhs9_1247,p123ulv45,-96.95273531,32.86191953,1372,IRVING 2
p124u,p124uhs0_1247_69,p124uhs0_1247,p124ulv274,-97.35924367,32.45900731,1987,KEENE 2
p124u,p124uhs10_1247_69,p124uhs10_1247,p124ulv17,-97.35903104,32.57145742,2002,BURLESON 6
p124u,p124uhs11_1247_69,p124uhs11_1247,p124ulv60,-97.50103302,32.5248147,1996,CROWLEY 1
p124u,p124uhs12_1247_69,p124uhs12_1247,p124ulv10,-97.39933983,32.56251683,1997,CROWLEY 2
p124u,p124uhs13_1247_69,p124uhs13_1247,p124ulv126,-97.47917814,32.46629507,1998,JOSHUA 4
p124u,p124uhs14_1247_69,p124uhs14_1247,p124ulv98,-97.38342008,32.5253231,1999,JOSHUA 5
p124u,p124uhs15_1247_69,p124uhs15_1247,p124ulv852,-97.30821785,32.49219996,2000,BURLESON 5
p124u,p124uhs16_1247_69,p124uhs16_1247,p124ulv8408,-97.56149234,32.50006174,2003,GODLEY 5
p124u,p124uhs1_1247_69,p124uhs1_1247,p124ulv163,-97.38348228,32.43871197,2001,JOSHUA 6
p124u,p124uhs2_1247_69,p124uhs2_1247,p124ulv253,-97.34097751,32.48974094,1988,BURLESON 1
p124u,p124uhs3_1247_69,p124uhs3_1247,p124ulv171,-97.3609972,32.53204421,1989,BURLESON 2
p124u,p124uhs4_1247_69,p124uhs4_1247,p124ulv51,-97.31958508,32.54874844,1991,BURLESON 4
p124u,p124uhs5_1247_69,p124uhs5_1247,p124ulv36,-97.32467722,32.56583598,1991,BURLESON 4
p124u,p124uhs6_1247_69,p124uhs6_1247,p124ulv76,-97.51075516,32.49610203,1992,GODLEY 4
p124u,p124uhs7_1247_69,p124uhs7_1247,p124ulv97,-97.38692782,32.51967681,1999,JOSHUA 5
p124u,p124uhs8_1247_69,p124uhs8_1247,p124ulv53,-97.60904963,32.52558586,1994,CRESSON 3
p124u,p124uhs9_1247_69,p124uhs9_1247,p124ulv99,-97.46131308,32.49137604,1998,JOSHUA 4
p125u,p125uhs0_1247_69,p125uhs0_1247,p125ulv26,-97.34983353,32.75001012,2004,FORT WORTH 1
p125u,p125uhs10_1247_69,p125uhs10_1247,p125ulv11860,-97.35134539,32.6955426,2013,FORT WORTH 10
p125u,p125uhs11_1247_69,p125uhs11_1247,p125ulv11984,-97.34643833,32.68822746,2013,FORT WORTH 10
p125u,p125uhs12_1247_69,p125uhs12_1247,p125ulv11756,-97.3069144,32.77538307,2015,FORT WORTH 12
p125u,p125uhs13_1247_69,p125uhs13_1247,p125ulv11774,-97.28233259,32.77069217,2015,FORT WORTH 12
p125u,p125uhs14_1247_69,p125uhs14_1247,p125ulv86,-97.3189095,32.73132533,2012,FORT WORTH 9
p125u,p125uhs15_1247_69,p125uhs15_1247,p125ulv11824,-97.29791973,32.73584782,2021,FORT WORTH 17
p125u,p125uhs16_1247_69,p125uhs16_1247,p125ulv11682,-97.39602002,32.73529282,2018,NAVAL AIR STATION_ JRB 2
p125u,p125uhs17_1247_69,p125uhs17_1247,p125ulv45041,-97.30727702,32.68752466,2019,FORT WORTH 15
p125u,p125uhs1_1247_69,p125uhs1_1247,p125ulv3,-97.37190655,32.75914311,2005,FORT WORTH 2
p125u,p125uhs2_1247_69,p125uhs2_1247,p125ulv44,-97.3519882,32.72530493,2006,FORT WORTH 3
p125u,p125uhs3_1247_69,p125uhs3_1247,p125ulv697,-97.33279498,32.73421077,2007,FORT WORTH 4
p125u,p125uhs4_1247_69,p125uhs4_1247,p125ulv228,-97.32760944,32.75399187,2020,FORT WORTH 16
p125u,p125uhs5_1247_69,p125uhs5_1247,p125ulv41,-97.36669947,32.72471572,2008,FORT WORTH 5
p125u,p125uhs6_1247_69,p125uhs6_1247,p125ulv42,-97.36439988,32.71391676,2009,FORT WORTH 6
p125u,p125uhs7_1247_69,p125uhs7_1247,p125ulv11697,-97.39221293,32.72285248,2010,FORT WORTH 7
p125u,p125uhs8_1247_69,p125uhs8_1247,p125ulv10,-97.34855429,32.76015692,2011,FORT WORTH 8
p125u,p125uhs9_1247_69,p125uhs9_1247,p125ulv84,-97.31848531,32.7260705,2012,FORT WORTH 9
p126u,p126uhs0_1247_69,p126uhs0_1247,p126ulv441,-97.13432944,32.54853875,2064,KENNEDALE 5
p126u,p126uhs10_1247_69,p126uhs10_1247,p126ulv515,-97.10095055,32.58554731,2064,KENNEDALE 5
p126u,p126uhs11_1247_69,p126uhs11_1247,p126ulv322,-97.19738845,32.6030934,2064,KENNEDALE 5
p126u,p126uhs12_1247_69,p126uhs12_1247,p126ulv48,-97.17702119,32.65590993,1962,KENNEDALE 2
p126u,p126uhs13_1247_69,p126uhs13_1247,p126ulv324,-97.17912331,32.61215556,2064,KENNEDALE 5
p126u,p126uhs14_1247_69,p126uhs14_1247,p126ulv93,-97.14531245,32.63964508,2064,KENNEDALE 5
p126u,p126uhs15_1247_69,p126uhs15_1247,p126ulv315,-97.06512449,32.62769545,1569,DUNCANVILLE 14
p126u,p126uhs16_1247_69,p126uhs16_1247,p126ulv466,-97.10797566,32.60254569,2064,KENNEDALE 5
p126u,p126uhs17_1247_69,p126uhs17_1247,p126ulv991,-97.14377555,32.58655721,2064,KENNEDALE 5
p126u,p126uhs18_1247_69,p126uhs18_1247,p126ulv263,-97.10540558,32.62389966,2064,KENNEDALE 5
p126u,p126uhs19_1247_69,p126uhs19_1247,p126ulv586,-97.06463086,32.56329277,2064,KENNEDALE 5
p126u,p126uhs1_1247_69,p126uhs1_1247,p126ulv57,-97.16736185,32.64354048,1962,KENNEDALE 2
p126u,p126uhs2_1247_69,p126uhs2_1247,p126ulv183,-97.08741586,32.6678089,1569,DUNCANVILLE 14
p126u,p126uhs3_1247_69,p126uhs3_1247,p126ulv424,-97.14004517,32.57323513,2064,KENNEDALE 5
p126u,p126uhs4_1247_69,p126uhs4_1247,p126ulv33,-97.11978375,32.66035034,1962,KENNEDALE 2
p126u,p126uhs5_1247_69,p126uhs5_1247,p126ulv27,-97.12512866,32.669377,1962,KENNEDALE 2
p126u,p126uhs6_1247_69,p126uhs6_1247,p126ulv3,-97.16488668,32.66868249,1962,KENNEDALE 2
p126u,p126uhs7_1247_69,p126uhs7_1247,p126ulv1890,-97.13339892,32.6259712,2064,KENNEDALE 5
p126u,p126uhs8_1247_69,p126uhs8_1247,p126ulv388,-97.16163551,32.58420435,2064,KENNEDALE 5
p126u,p126uhs9_1247_69,p126uhs9_1247,p126ulv576,-97.07516403,32.55346261,2064,KENNEDALE 5
p127u,p127uhs0_1247_69,p127uhs0_1247,p127ulv375,-97.28419909,32.82930969,2022,HALTOM CITY 4
p127u,p127uhs10_1247_69,p127uhs10_1247,p127ulv345,-97.19457763,32.87561358,2031,NORTH RICHLAND HILLS 7
p127u,p127uhs11_1247_69,p127uhs11_1247,p127ulv173,-97.26693925,32.86307212,2032,NORTH RICHLAND HILLS 8
p127u,p127uhs12_1247_69,p127uhs12_1247,p127ulv501,-97.28179098,32.80108245,2033,HALTOM CITY 7
p127u,p127uhs13_1247_69,p127uhs13_1247,p127ulv1798,-97.19618383,32.82214025,2023,NORTH RICHLAND HILLS 1
p127u,p127uhs14_1247_69,p127uhs14_1247,p127ulv30,-97.31173886,32.85279669,2034,KELLER 1
p127u,p127uhs15_1247_69,p127uhs15_1247,p127ulv38,-97.27637284,32.88159062,2035,KELLER 2
p127u,p127uhs16_1247_69,p127uhs16_1247,p127ulv110,-97.21151395,32.88041951,2030,NORTH RICHLAND HILLS 6
p127u,p127uhs17_1247_69,p127uhs17_1247,p127ulv383,-97.25969779,32.83403997,2022,HALTOM CITY 4
p127u,p127uhs18_1247_69,p127uhs18_1247,p127ulv367,-97.29784761,32.80692062,2039,HALTOM CITY 9
p127u,p127uhs19_1247_69,p127uhs19_1247,p127ulv424,-97.26769618,32.81053942,2022,HALTOM CITY 4
